date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:49:58	46479/46479	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:37%20GMT	https://dev.closer2oxford.ro/page/ro/vezi_meciuri/410/sunt_arbitru	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/vezi_meciuri/410/sunt_arbitru.html	(from https://dev.closer2oxford.ro/)
22:49:58	47/47	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:58%20GMT	https://dev.closer2oxford.ro/page/clasamente/11	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/clasamente/11.html	(from https://dev.closer2oxford.ro/)
22:49:58	3432/3432	---M--	200	added ('OK')	image/png	etag:%22d68-5b85539653f9a%22	https://dev.closer2oxford.ro/images/layout/right_arrow_yellow.png	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/images/layout/right_arrow_yellow.png	(from https://dev.closer2oxford.ro/)
22:49:58	30146/30146	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:58%20GMT	https://dev.closer2oxford.ro/page/dezbatere_bucuresti_runda_11	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/dezbatere_bucuresti_runda_11.html	(from https://dev.closer2oxford.ro/)
22:49:58	29819/29819	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:58%20GMT	https://dev.closer2oxford.ro/page/dezbatere_timisoara_runda_11	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/dezbatere_timisoara_runda_11.html	(from https://dev.closer2oxford.ro/)
22:49:59	47/47	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:58%20GMT	https://dev.closer2oxford.ro/page/clasamente/10	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/clasamente/10.html	(from https://dev.closer2oxford.ro/)
22:49:59	29366/29366	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:59%20GMT	https://dev.closer2oxford.ro/page/dezbatere_bucuresti_runda_10	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/dezbatere_bucuresti_runda_10.html	(from https://dev.closer2oxford.ro/)
22:49:59	54817/54817	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:59%20GMT	https://dev.closer2oxford.ro/page/dezbatere_cluj_runda_10	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/dezbatere_cluj_runda_10.html	(from https://dev.closer2oxford.ro/)
22:49:59	29709/29709	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:59%20GMT	https://dev.closer2oxford.ro/page/dezbatere_iasi_runda_10	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/dezbatere_iasi_runda_10.html	(from https://dev.closer2oxford.ro/)
22:49:59	28326/28326	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:59%20GMT	https://dev.closer2oxford.ro/page/dezbatere_timisoara_runda_10	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/dezbatere_timisoara_runda_10.html	(from https://dev.closer2oxford.ro/)
22:50:00	47/47	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:50:00%20GMT	https://dev.closer2oxford.ro/page/clasamente/9	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/clasamente/9.html	(from https://dev.closer2oxford.ro/)
22:50:00	91037/91037	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:50:00%20GMT	https://dev.closer2oxford.ro/page/dezbatere_bucuresti_vara_2013	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/dezbatere_bucuresti_vara_2013.html	(from https://dev.closer2oxford.ro/)
22:50:00	63500/63500	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:50:00%20GMT	https://dev.closer2oxford.ro/page/dezbatere_cluj_vara_2013	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/dezbatere_cluj_vara_2013.html	(from https://dev.closer2oxford.ro/)
